f,                      h,      g,
488.8721618652344       -1.0    488.8721618652344       
539.8660888671875       1.0     1.104309328654329       
520.2685546875          -1.0    0.9636992680521768      
535.1053466796875       1.0     1.0285175643588516  
511.9313049316406       -1.0    0.9566925617696757  
534.7709350585938       1.0     1.0446146385402295      
510.5654602050781       -1.0    0.954736741908265      
529.8847045898438       1.0     1.0378389176130436      
512.17626953125         -1.0    0.96658058837101       
552.0736694335938       1.0     1.0778977908110783      
538.3999633789062       -1.0    0.9752320988814478       
564.022705078125        1.0     1.0475905338819393      
538.531005859375        -1.0    0.9548037712148147   
570.2593383789062       1.0     1.0589164452451534 
544.8768310546875       -1.0    0.9554895367494123      
615.5808715820312       1.0     1.1297615103040552       
597.044677734375        -1.0    0.9698882881139264     
616.4376831054688       1.0     1.0324816652661322      
602.3424682617188       -1.0    0.9771344042876458      
624.20751953125         1.0     1.0363000326585488      
596.7644653320312       -1.0    0.9560353675011362         
669.3458251953125       1.0     1.1216248018770656      
632.6870727539062       -1.0    0.9452319696911393 
648.9887084960938       1.0     1.0257657164879805    
634.3961791992188       -1.0    0.9775149719774164        
657.0405883789062       1.0     1.0356944286900829         
624.8765869140625       -1.0    0.9510471620266248      
662.3065185546875       1.0     1.0598997184795669 
578.0742797851562       -1.0    0.8728198554449588    
620.5454711914062       1.0     1.073470128133074       
606.4091796875          -1.0    0.9772195718763921        
634.8444213867188       1.0     1.0468911795066695       
618.9786987304688       -1.0    0.9750084869272477 
634.5205688476562       1.0     1.025108893325512      
604.7282104492188       -1.0    0.9530474505301807          
655.3208618164062       1.0     1.0836618012736747    
634.5860595703125       -1.0    0.9683593130415208     
659.99267578125         1.0     1.0400365180226945      
642.0714111328125       -1.0    0.9728462673813408          
660.044189453125        1.0     1.0279918682076234      
598.7603759765625       -1.0    0.9071519536785275    
618.8617553710938       1.0     1.0335716593833493     
577.9472045898438       -1.0    0.9338874143923855  
597.1669311523438       1.0     1.033255159657948    
574.2671508789062       -1.0    0.9616526316531826   
596.6640625             1.0     1.0390008580271668 
574.1801147460938       -1.0    0.9623172415316932        
592.7651977539062       1.0     1.032368036667433   
570.10107421875         -1.0    0.9617654281644153            
586.3828125             1.0     1.0285593888830362     
554.3214111328125       -1.0    0.9453234291938127           
586.2801513671875       1.0     1.0576538080480493      
565.2156982421875       -1.0    0.9640710109733746      
587.9127197265625       1.0     1.0401563890652055       
518.423095703125        -1.0    0.8818028226098645      
542.931396484375        1.0     1.047274708600723       
528.306396484375        -1.0    0.9730628950642738    
541.9131469726562       1.0     1.0257554149993784    
525.2415161132812       -1.0    0.9692356036156173          
592.8854370117188       1.0     1.128786317957106       
579.7801513671875       -1.0    0.9778957538397554       
593.7794189453125       1.0     1.024145820696195            
574.0227661132812       -1.0    0.966727285921894      
605.1771240234375       1.0     1.0542737322442852            
580.5870971679688       -1.0    0.9593672234469385        
595.7373046875          1.0     1.026094633507069     
561.8449096679688       -1.0    0.9431084896768218     
584.479736328125        1.0     1.0402866098289165      
554.270263671875        -1.0    0.9483139093135463 
605.0904541015625       1.0     1.0916884663684083     
577.5083618164062       -1.0    0.9544165800365995     
594.2476196289062       1.0     1.0289853081258442   
580.3467407226562       -1.0    0.9766075985042553     
614.5827026367188       1.0     1.058992253271607     
600.614013671875        -1.0    0.977271262427474     
646.9588012695312       1.0     1.077162348101613        
631.466552734375        -1.0    0.9760537324714407      
657.512939453125        1.0     1.0412474526258977     
571.6535034179688       -1.0    0.8694178762374344       
584.9537353515625       1.0     1.0232662475679244         
566.5331420898438       -1.0    0.9685093159535979  
621.3866577148438       1.0     1.096823136282292  
595.1176147460938       -1.0    0.9577251255034109        
609.1158447265625       1.0     1.0235217873469282 
574.71533203125         -1.0    0.9435238584037242           
602.5181884765625       1.0     1.0483767439212857 
574.98046875            -1.0    0.9542956208572055    
617.6267700195312       1.0     1.0741699998301573    
602.4429321289062       -1.0    0.9754158358612842     
619.9234008789062       1.0     1.029015974489447     
605.2421875             -1.0    0.9763176977057298  
634.7606201171875       1.0     1.0487712740896593      
614.0479736328125       -1      


614.0479736328125/634.7606201171875 

e-1: 606.66738
e 1: 638.20195

-1: end: 43.00839/45
1: end: 48.39135/46
33:+1.073470128133074  +1.0598997184795669 +1.0356944286900829 +1.0257657164879805 +11.7198  



